urn,label,description,link
urn:cite2:hmt:place.v1:place308,Thisbe,"[coordinates=22.96835, 38.259722]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/541146
urn:cite2:exploreHomer:place.v1:place26,Hermion(e),"[coordinates=23.243591, 37.385218]
[commenting=""Commanders: Diomedes, Sthenelos, Euryalos""]
[tagging=""Argolis""]",https://pleiades.stoa.org/places/570292
urn:cite2:hmt:place.v1:place277,Helice,"[coordinates=22.14015, 38.22257]
[commenting=""Commander: Agamemnon""]
[tagging=""Mycenaeans""]",https://pleiades.stoa.org/places/570281
urn:cite2:exploreHomer:place.v1:place27,Lykastos,"[coordinates=25.10388, 35.20224]
[commenting=""Commander: Idomeneus""]
[tagging=""Cretans""]",https://pleiades.stoa.org/places/589917
urn:cite2:hmt:place.v1:place386,Olizon,"[coordinates=23.21711, 39.13534]
[commenting=""Commander: Philoktetes""]
[tagging=""Methonians""]",https://pleiades.stoa.org/places/540979
urn:cite2:exploreHomer:place.v1:place28,Titaresios (river),"[coordinates=22.25, 39.75]
[commenting=""Commander: Guneus""]
[tagging=""Peraebi""]",https://pleiades.stoa.org/places/541151
urn:cite2:hmt:place.v1:place21,Crete,"[coordinates=24.995769971495, 35.219844391733]
[commenting=""80""]
[tagging=""Cretans""]",https://pleiades.stoa.org/places/589748
urn:cite2:exploreHomer:place.v1:place29,Hyperasia,"[commenting=""Commander: Agamemnon""]
[tagging=""Mycenaeans""]",https://pleiades.stoa.org/places/573256
urn:cite2:hmt:place.v1:place194,Crisa,"[coordinates=22.4689446, 38.4753859]
[commenting=""Commanders: Schedios, Epistrophos""]
[tagging=""Phocaeans""]",https://pleiades.stoa.org/places/540889
urn:cite2:hmt:place.v1:place394,Peneus,"[coordinates=21.75, 39.75]",https://pleiades.stoa.org/places/541022
urn:cite2:exploreHomer:place.v1:place30,Alybe,"[commenting=""Commanders: Odios, Epistrophos""]
[tagging=""Halizoni""]",https://pleiades.stoa.org/places/554184
urn:cite2:exploreHomer:place.v1:place31,Xanthos (river),"[coordinates=33.5, 40.5]
[commenting=""Commanders: Sarpedon, Glaukos""]
[tagging=""Lycians""]",https://pleiades.stoa.org/places/845090
urn:cite2:exploreHomer:place.v1:place32,Kainepolis,"[coordinates=22.442714, 36.460433]
[commenting=""Commanders: Schedios, Epistrophos""]
[tagging=""Phocaeans""]",https://pleiades.stoa.org/places/570322
urn:cite2:hmt:place.v1:place197,Panopeus,"[coordinates=22.79418, 38.49551]
[commenting=""Commanders: Schedios, Epistrophos""]
[tagging=""Phocaeans""]",https://pleiades.stoa.org/places/541008
urn:cite2:hmt:place.v1:place322,Histiaia,"[coordinates=23.06593, 38.93759]
[commenting=""Commander: Elphenor""]
[tagging=""Abantes""]",https://pleiades.stoa.org/places/540817
urn:cite2:exploreHomer:place.v1:place33,Helos,"[coordinates=26.361312, 38.574035]
[commenting=""Commander: Menelaos""]
[tagging=""Laconians""]",https://pleiades.stoa.org/places/550568
urn:cite2:exploreHomer:place.v1:place34,Myrkinos,"[coordinates=23.819776, 40.901252]
[commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos""]
[tagging=""Elis""]",https://pleiades.stoa.org/places/501520
urn:cite2:exploreHomer:place.v1:place35,Alesion M.,"[coordinates=22.43409, 37.65988]
[commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos""]
[tagging=""Elis""]",https://pleiades.stoa.org/places/570064
urn:cite2:hmt:place.v1:place360,Knossos,"[coordinates=25.163106, 35.297847]
[commenting=""Commander: Idomeneus""]
[tagging=""Cretans""]",https://pleiades.stoa.org/places/589872
urn:cite2:exploreHomer:place.v1:place36,Alope,"[coordinates=22.79812, 38.88481]
[commenting=""Commander: Achilles""]
[tagging=""Myrmidons""]",https://pleiades.stoa.org/places/540621
urn:cite2:exploreHomer:place.v1:place37,Messa,"[coordinates=22.38113, 36.531845]
[commenting=""Commander: Menelaos""]
[tagging=""Laconians""]",https://pleiades.stoa.org/places/570478
urn:cite2:hmt:place.v1:place199,Cynus,"[coordinates=23.0622, 38.7234]
[commenting=""Commander: Ajax Oileus""]
[tagging=""Locrians""]",https://pleiades.stoa.org/places/540896
urn:cite2:hmt:place.v1:place49,Thebes,"[coordinates=23.255096, 38.318092]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/541138
urn:cite2:exploreHomer:place.v1:place38,Nisa,"[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/543807
urn:cite2:hmt:place.v1:place380,Pteleon,"[coordinates=22.97464, 39.03369]
[commenting=""Commander: Nestor""]
[tagging=""Pylos""]",https://pleiades.stoa.org/places/541077
urn:cite2:exploreHomer:place.v1:place39,Kyllene (mountain),"[coordinates=22.3957984, 37.9391027]
[commenting=""Commander: Agapenor""]
[tagging=""Arcadians""]",https://pleiades.stoa.org/places/570391
urn:cite2:hmt:place.v1:place237,Hyrmine,"[coordinates=21.135668, 37.886492]
[commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos""]
[tagging=""Elis""]",https://pleiades.stoa.org/places/570305
urn:cite2:hmt:place.v1:place48,Lindos,"[coordinates=28.15629, 36.41451]
[commenting=""Commander: Tleptolemos""]
[tagging=""Rhodians""]",https://pleiades.stoa.org/places/589913
urn:cite2:hmt:place.v1:place400,Practius,"[coordinates=26.75, 40.25]
[commenting=""Commander: Asios""]",https://pleiades.stoa.org/places/501577
urn:cite2:hmt:place.v1:place154,Abantes,"[coordinates=23.75, 38.75]
[commenting=""50""]
[tagging=""Abantes""]",https://pleiades.stoa.org/places/540583
urn:cite2:exploreHomer:place.v1:place40,Syme,"[coordinates=27.843425, 36.61839]
[commenting=""3""]
[tagging=""Syme""]",https://pleiades.stoa.org/places/599950
urn:cite2:hmt:place.v1:place384,Methone,"[coordinates=23.069231, 39.327998]
[commenting=""50""]
[tagging=""Methonians""]",https://pleiades.stoa.org/places/540946
urn:cite2:exploreHomer:place.v1:place41,Parthenios (river),"[coordinates=30.75, 39.75]
[commenting=""Commander: Pylaimenes""]
[tagging=""Paphlagonians""]",https://pleiades.stoa.org/places/609495
urn:cite2:hmt:place.v1:place1,Athens,"[coordinates=23.726464, 37.971687]",https://pleiades.stoa.org/places/579885
urn:cite2:hmt:place.v1:place310,Coroneia,"[coordinates=22.956902, 38.392613]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540717
urn:cite2:hmt:place.v1:place336,Pellene,"[coordinates=22.5384, 38.0446]
[commenting=""Commander: Agamemnon""]
[tagging=""Mycenaeans""]",https://pleiades.stoa.org/places/570576
urn:cite2:hmt:place.v1:place132,Samos,"[coordinates=26.84, 37.73]
[commenting=""Commander: Odysseus""]
[tagging=""Cephallenians""]",https://pleiades.stoa.org/places/599925
urn:cite2:exploreHomer:place.v1:place42,Gortys,"[coordinates=22.041, 37.534]
[commenting=""Commander: Idomeneus""]
[tagging=""Cretans""]",https://pleiades.stoa.org/places/570267
urn:cite2:hmt:place.v1:place107,Calydon,"[coordinates=21.533106, 38.372423]
[commenting=""Commander: Thoas""]
[tagging=""Aetolians""]",https://pleiades.stoa.org/places/540699
urn:cite2:hmt:place.v1:place383,Glaphyrae,"[coordinates=22.8833, 39.444]
[commenting=""Commander: Admetos""]
[tagging=""Pheraians""]",https://pleiades.stoa.org/places/540790
urn:cite2:hmt:place.v1:place190,Doulichion,"[coordinates=21.15177, 38.32079]
[commenting=""Commanders: Meges, Phyleus""]
[tagging=""Dulichium""]",https://pleiades.stoa.org/places/530845
urn:cite2:hmt:place.v1:place395,Pereia,"[coordinates=22.56873, 39.14917]
[commenting=""Commander: Eumelos""]
[tagging=""Phereians""]",https://pleiades.stoa.org/places/541025
urn:cite2:hmt:place.v1:place125,Sestus,"[coordinates=26.38916, 40.21343]
[commenting=""Commander: Asios""]",https://pleiades.stoa.org/places/501609
urn:cite2:exploreHomer:place.v1:place43,Ephyra,,https://pleiades.stoa.org/places/573208
urn:cite2:exploreHomer:place.v1:place44,Schoinos,"[coordinates=23.362092, 38.4274]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/541091
urn:cite2:hmt:place.v1:place178,Hyria,"[coordinates=23.564791, 38.456822]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540830
urn:cite2:hmt:place.v1:place152,Cephissus,"[coordinates=24.75, 38.75]
[commenting=""Commanders: Schedios, Epistrophos""]
[tagging=""Phocaeans""]",https://pleiades.stoa.org/places/540860
urn:cite2:exploreHomer:place.v1:place45,Lyrnessos,,https://pleiades.stoa.org/places/652355
urn:cite2:hmt:place.v1:place290,Glisas,"[coordinates=23.396935, 38.391809]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540791
urn:cite2:hmt:place.v1:place183,Copae,"[coordinates=23.160772, 38.493128]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540878
urn:cite2:hmt:place.v1:place152,Cephissus,"[coordinates=24.75, 38.75]
[commenting=""Commanders: Schedios, Epistrophos""]
[tagging=""Phocaeans""]",https://pleiades.stoa.org/places/540860
urn:cite2:exploreHomer:place.v1:place46,Gonoussa,"[commenting=""Commander: Agamemnon""]
[tagging=""Mycenaeans""]",https://pleiades.stoa.org/places/573235
urn:cite2:hmt:place.v1:place27,Lacedaemonia,"[coordinates=22.25, 37.25]
[commenting=""Commander: Menelaos""]
[tagging=""Laconians""]",https://pleiades.stoa.org/places/570406
urn:cite2:hmt:place.v1:place350,Mantineia,"[coordinates=22.393259, 37.618138]
[commenting=""Commander: Agapenor""]
[tagging=""Arcadians""]",https://pleiades.stoa.org/places/570459
urn:cite2:exploreHomer:place.v1:place47,Buprasion,"[commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos""]",https://pleiades.stoa.org/places/573157
urn:cite2:exploreHomer:place.v1:place48,(M)Otene,"[coordinates=44.315416, 40.262289]
[commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos""]
[tagging=""Elis""]",https://pleiades.stoa.org/places/863848
urn:cite2:hmt:place.v1:place349,Tegea,"[coordinates=22.429, 37.464]
[commenting=""Commander: Agapenor""]
[tagging=""Arcadians""]",https://pleiades.stoa.org/places/570707
urn:cite2:hmt:place.v1:place364,Rhytion,"[coordinates=25.169935, 35.010596]
[commenting=""Commander: Idomeneus""]
[tagging=""Cretans""]",https://pleiades.stoa.org/places/590033
urn:cite2:hmt:place.v1:place385,Thaumacia,"[coordinates=23.339604, 39.173156]
[commenting=""Commander: Philoktetes""]
[tagging=""Methonians""]",https://pleiades.stoa.org/places/541135
urn:cite2:exploreHomer:place.v1:place49,Alos,"[commenting=""Commander: Achilles""]
[tagging=""Myrmidons""]",https://pleiades.stoa.org/places/573077
urn:cite2:hmt:place.v1:place381,Boebeïs,"[coordinates=22.75, 39.75]
[commenting=""Commander: Admetos""]
[tagging=""Pheraians""]",https://pleiades.stoa.org/places/540690
urn:cite2:exploreHomer:place.v1:place50,Mysia,"[coordinates=27.75, 40.25]
[commenting=""Commanders: Chromis, Ennomos""]
[tagging=""Mysians""]",https://pleiades.stoa.org/places/511328
urn:cite2:exploreHomer:place.v1:place51,Gygaia/Koloe/Talaimenis L.,"[coordinates=27.983474, 38.614377]
[commenting=""Commanders: Odios, Epistrophos""]",https://pleiades.stoa.org/places/550556
urn:cite2:hmt:place.v1:place304,Eilesion,"[coordinates=23.504108, 38.30214]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/540750
urn:cite2:hmt:place.v1:place306,Peteon,"[coordinates=23.412119, 38.443961]
[commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""]
[tagging=""Boeotians""]",https://pleiades.stoa.org/places/541028
urn:cite2:exploreHomer:place.v1:place52,Opous,"[commenting=""Commander: Ajax Oileus""]
[tagging=""Locrians""]",https://pleiades.stoa.org/places/573414
urn:cite2:hmt:place.v1:place155,Eretria,"[coordinates=22.607216, 39.290562]
[commenting=""Commander: Elphenor""]
[tagging=""Abantes""]",https://pleiades.stoa.org/places/579925
urn:cite2:hmt:place.v1:place50,Phlius,"[commenting=""Commander: Agamemnon""]
[tagging=""Mycenaeans""]",https://pleiades.stoa.org/places/573109
